曲目ID,曲名,别名,,,,,,,,,,,,,
3,B.B.K.K.B.K.K.,bbkkbkk,bk,,,,,,,,,,,,
6,Reach For The Stars,追星,,,,,,,,,,,,,
7,初音ミクの消失,消失,,,,,,,,,,,,,
18,千本桜,千本樱,,,,,,,,,,,,,
19,DRAGONLADY,龙女士,,,,,,,,,,,,,
20,taboo tears you up,淘宝,,,,,,,,,,,,,
21,ナイト・オブ・ナイツ,夜骑,,,,,,,,,,,,,
23,一触即発☆禅ガール,一触即发,,,,,,,,,,,,,
24,ドーナツホール,甜甜圈洞,,,,,,,,,,,,,
27,タイガーランペイジ,,,,,,,,,,,,,,
33,Blue Noise,蓝噪音,,,,,,,,,,,,,
35,Lapis,苍星石,,,,,,,,,,,,,
37,鳥の詩,鸟之诗,,,,,,,,,,,,,
38,天ノ弱,天之弱,,,,,,,,,,,,,
41,sweet little sister,甜二妹,,,,,,,,,,,,,
45,L9,,,,,,,,,,,,,,
46,Bad Apple!! feat.nomico,坏苹果,烂苹果,,,,,,,,,,,,
47,六兆年と一夜物語,lzn,六兆年,,,,,,,,,,,,
48,Unlimited Spark!,,,,,,,,,,,,,,
49,エピクロスの虹はもう見えない,,,,,,,,,,,,,,
51,My First Phone,小灵通,,,,,,,,,,,,,
52,Cyberozar,赛博牛杂,,,,,,,,,,,,,
53,Teriqma,,,,,,,,,,,,,,
59,Invitation,,,,,,,,,,,,,,
61,GOLDEN RULE,黄金律,,,,,,,,,,,,,
62,名も無い鳥,,,,,,,,,,,,,,
63,Gate of Fate,螃蟹,命运之门,命运门,,,,,,,,,,,
64,今ぞ♡崇め奉れ☆オマエらよ！！～姫の秘メタル渇望～,,,,,,,,,,,,,,
65,Anemone,,,,,,,,,,,,,,
66,明るい未来,,,,,,,,,,,,,,
67,昵懇レファレンス,,,,,,,,,,,,,,
68,乗り切れ受験ウォーズ,,,,,,,,,,,,,,
69,The wheel to the right,印度人,电锯人,,,,,,,,,,,,
70,STAR,,,,,,,,,,,,,,
71,Infantoon Fantasy,NEO比中指,,,,,,,,,,,,,
72,Genesis,原神,起源,,,,,,,,,,,,
73,MUSIC PЯAYER,music prayer,,,,,,,,,,,,,
74,リリーシア,,,,,,,,,,,,,,
75,Counselor,,,,,,,,,,,,,,
76,luna blu,蓝月,死神,,,,,,,,,,,,
77,ケモノガル,,,,,,,,,,,,,,
79,ＧＯ！ＧＯ！ラブリズム♥,,,,,,,,,,,,,,
80,Grab your sword,,,,,,,,,,,,,,
82,Memories of Sun and Moon,屎,日月记忆,,,,,,,,,,,,
83,ロストワンの号哭,号哭,,,,,,,,,,,,,
88,The Concept of Love,,,,,,,,,,,,,,
89,JET,,,,,,,,,,,,,,
90,L'épisode,大琴师,,,,,,,,,,,,,
91,Yet Another ”drizzly rain”,,,,,,,,,,,,,,
